Date and Time	                  X, km	                    Y, km	                  Z, km
2024-11-01 14:48:59.999999	-4683036.82316735	-4501532.978415246	-2412743.590274961
2024-11-01 14:49:29.999997	-4623170.230349944	-4646250.69337461	-2247692.6388216666
2024-11-01 14:49:59.999996	-4558315.724426999	-4785955.599576971	-2080209.9945563714
2024-11-01 14:50:29.999994	-4488542.367656932	-4920496.0173200015	-1910476.4359957888
2024-11-01 14:50:59.999992	-4413924.57627543	-5049725.806287404	-1738675.2526903145
2024-11-01 14:51:29.999990	-4334542.044286407	-5173504.530485954	-1564992.046809102
2024-11-01 14:51:59.999988	-4250479.661105829	-5291697.617121456	-1389614.5316399825
2024-11-01 14:52:29.999987	-4161827.4231393216	-5404176.50915962	-1212732.3272682899
2024-11-01 14:52:59.999985	-4068680.3393605296	-5510818.8113660505	-1034536.7536500233
2024-11-01 14:53:29.999983	-3971138.330988054	-5611508.4295955775	-855220.6213464221
2024-11-01 14:53:59.999981	-3869306.1253599925	-5706135.703126402	-674978.0201716549
2024-11-01 14:54:30.000020	-3763292.9991856706	-5794597.644302546	-494003.8629003464
2024-11-01 14:55:00.000018	-3653213.235497175	-5876797.5900759585	-312494.64238283195
2024-11-01 14:55:30.000016	-3539185.147548194	-5952646.024341324	-130646.75889577216
2024-11-01 14:56:00.000014	-3421331.5139643773	-6022060.197598187	51342.72674138667
2024-11-01 14:56:30.000013	-3299779.3060917067	-6084964.344539733	233276.55318284527
2024-11-01 14:57:00.000011	-3174659.5497635957	-6141289.770869216	414957.4767601435
2024-11-01 14:57:30.000009	-3046107.182262856	-6190974.932009899	596188.4898470996
2024-11-01 14:58:00.000007	-2914260.9046551664	-6233965.503596021	776773.0391060256
2024-11-01 14:58:30.000005	-2779263.0296892067	-6270214.4436425185	956515.243320418
2024-11-01 14:59:00.000004	-2641259.325452811	-6299682.04631073	1135220.1105393115
2024-11-01 14:59:30.000002	-2500398.8549945373	-6322335.9871971235	1312693.7542417487
2024-11-01 15:00:00.000000	-2356833.8121161475	-6338151.360090105	1488743.6082461018
